pressure	height	temperature	dewpoint	direction	speed	u_wind	v_wind
44.0	21442	-50.1	-82.3	285.0	20.0	19.31851652578137	-5.176380902050406
42.0	21744	-49.5	-82.5	325.0	17.0	9.750799417967789	-13.925584752912856
41.0	21901	-49.7	-82.7	330.0	23.0	11.50000000000001	-19.918584287042084
38.0	22394	-50.4	-83.4	290.0	12.0	11.2763114494309	-4.104241719908028
36.0	22746	-51.0	-84.0	350.0	10.0	1.736481776669304	-9.84807753012208
35.0	22929	-51.2	-84.2	5.0	10.0	-0.8715574274765816	-9.961946980917455
34.0	23117	-51.5	-84.5	350.0	10.0	1.736481776669304	-9.84807753012208
33.0	23311	-51.8	-84.8	0.0	13.0	-0.0	-13.0
32.0	23511	-52.1	-85.1	340.0	10.0	3.4202014332566852	-9.396926207859085
31.2	23675	-52.3	-85.3	23.0	8.0	-3.12584902791419	-7.364038827619523
30.0	23930	-49.9	-82.9	90.0	5.0	-5.0	-3.061616997868383e-16
29.8	23974	-49.5	-82.5	91.0	7.0	-6.998933866094739	0.12216684506098431
29.0	24152	-49.8	-82.8	95.0	14.0	-13.946725773284438	1.2201803984672153
28.0	24381	-50.1	-83.1	45.0	11.0	-7.778174593052022	-7.778174593052023
27.0	24619	-50.5	-83.5	50.0	21.0	-16.086933305498537	-13.498539803417327
26.0	24865	-50.9	-83.9	15.0	14.0	-3.6234666314352904	-13.522961568046956
25.0	25123	-50.1	-83.8	25.0	10.0	-4.2261826174069945	-9.063077870366499
24.0	25391	-49.3	-83.7	350.0	12.0	2.0837781320031645	-11.817693036146496
23.0	25670	-48.4	-83.6	45.0	8.0	-5.65685424949238	-5.656854249492381
22.0	25962	-47.5	-83.5	60.0	13.0	-11.258330249197702	-6.500000000000002
21.0	26268	-48.2	-83.7	75.0	19.0	-18.352590699492296	-4.917561856947894
20.0	26590	-48.9	-83.9	65.0	21.0	-19.03246352776965	-8.874983496554687
19.7	26689	-49.5	-83.5	63.0	22.0	-19.60214353214409	-9.98779099427003
18.0	27285	-45.4	-82.2	50.0	28.0	-21.449244407331385	-17.9980530712231
17.9	27322	-45.1	-82.1	50.0	27.0	-20.683199964212406	-17.35526546153656
17.0	27668	-44.5	-82.2	55.0	18.0	-14.74473679720185	-10.32437585431883
16.0	28074	-43.9	-82.2	40.0	19.0	-12.212964584044245	-14.554844419260585
15.1	28462	-43.3	-82.3	58.0	22.0	-18.65705811544137	-11.658223813130508
15.0	28506	-43.4	-82.4	60.0	22.0	-19.05255888325765	-11.000000000000002
14.6	28688	-43.9	-82.9	64.0	21.0	-18.87467497228251	-9.205794082570625
14.0	28974	-42.4	-82.1	70.0	19.0	-17.854159794932258	-6.498382723187707
13.0	29478	-39.6	-80.6	70.0	19.0	-17.854159794932258	-6.498382723187707
12.2	29910	-37.3	-79.3	74.0	27.0	-25.95406579033461	-7.442208607058977
12.0	30025	-37.1	-79.2	75.0	29.0	-28.01184896238298	-7.5057523079731014
11.0	30629	-36.0	-78.5	65.0	35.0	-31.72077254628275	-14.79163916092448
10.0	31290	-34.7	-77.7	65.0	37.0	-33.53338812035605	-15.63687568440588
9.0	32028	-33.8	-77.4	55.0	25.0	-20.478801107224793	-14.339410908776154
8.3	32595	-33.1	-77.1	72.0	22.0	-20.923243358493377	-6.798373876248844
8.0	32854	-33.1	-77.1	80.0	20.0	-19.69615506024416	-3.4729635533386083
7.8	33032	-33.1	-77.1				
